record_key,pmid,doi,year,title,content_sha256
doi:10.1016/j.bbrep.2025.102376,41378098,10.1016/j.bbrep.2025.102376,2025,"Radiotherapy and precision medicine's role in molecular alterations during chromosomal division: The influence of &lt;i&gt;MB, TP53, CENPA, BUB1B&lt;/i&gt;, &lt;i&gt;MAD2L1&lt;/i&gt;, &lt;i&gt;ZWINT&lt;/i&gt; expression and noncoding RNAs in oral cancer.",51bb31245f268dfa276e55d1071ee8ca773f5f2430698ca97573217e8470af49
doi:10.1016/j.bonr.2026.101930,42326738,10.1016/j.bonr.2026.101930,2026,Genomic landscape and tumor immune microenvironment of osteosarcoma: Bridging mechanistic insights to precision therapeutics.,f0393bd1cb87bf4b6805bc3df3a863b730d56df8706c492ce65716a8bcd4c5aa
doi:10.1016/j.canlet.2025.217878,40517938,10.1016/j.canlet.2025.217878,2025,Energetics of whole genome doubling and genomic instability.,3297d2cab704b47c46b21fcfbf79020cad2ddea8702e43ba3f3309bc4fbf1fe0
doi:10.1016/j.cellin.2024.100209,39629481,10.1016/j.cellin.2024.100209,2024,Spontaneous and environment induced genomic alterations in yeast model.,938502f8051477aaf26a64fdb88cf6a8db7cfcfbc4effe4c1baf4bab2737dcbf
doi:10.1016/j.celrep.2026.117279,41996237,10.1016/j.celrep.2026.117279,2026,RNF126 and BRAP safeguard genome integrity after DNA damage in late mitosis.,9bd1896dc6eabcbf704f2044faf1a0f9b258d8fe4dba299ffcf711bb512fc880
doi:10.1016/j.coph.2013.03.012,23597425,10.1016/j.coph.2013.03.012,2014,Tumour selective targeting of cell cycle kinases for cancer treatment.,fbbc2c2fe7a3d3e82677087414adb0490ff02958b211b5da531e4bb9d0a12ee6
doi:10.1016/j.devcel.2015.04.020,26028219,10.1016/j.devcel.2015.04.020,2015,Inherent Instability of Correct Kinetochore-Microtubule Attachments during Meiosis I in Oocytes.,c5e2687177cc53532444f2c74ee9c5dbeccca23355991305c780d41c2c491ddc
doi:10.1016/j.devcel.2021.06.009,34216545,10.1016/j.devcel.2021.06.009,2021,Proteostasis failure and mitochondrial dysfunction leads to aneuploidy-induced senescence.,2f4b8bd6443daf5e00fe8b3ed04ee7f3e2a1512e03f892e7d6f58a890968f9cb
doi:10.1016/j.drudis.2024.104142,39168405,10.1016/j.drudis.2024.104142,2024,Exploration of inhibitors targeting KIF18A with ploidy-specific lethality.,bc11a2548b515eccd2b48a61f9c7e3fe93a88850bc66f33a3259c3b68b684878
doi:10.1016/j.drup.2026.101380,41747370,10.1016/j.drup.2026.101380,2026,Emerging trends and converging evidence in tumor evolution: A comprehensive review.,b67aeab4dd38f8bb82087e0863eff9b110806eff66bac1184e1e8cd97b3cc133
doi:10.1016/j.ejphar.2026.179144,42526787,10.1016/j.ejphar.2026.179144,2026,"Pharmacological targeting of the extracellular cGAMP-ENPP1 axis in cancer immunotherapy: mechanisms, biomarkers, and translational strategies.",fcb4bdd3cf39269cec435fa248fa96bfb6e8bf3f3f7de23d8537aec4193131f1
doi:10.1016/j.exphem.2023.10.002,37875176,10.1016/j.exphem.2023.10.002,2024,MiR-223-3p promotes genomic stability of hematopoietic progenitors after radiation.,5d32861dcc6cc841c45b40c7186c6a5bd8241bd0f4876808f952f60ede5a1cbe
doi:10.1016/j.gene.2026.150311,42425316,10.1016/j.gene.2026.150311,2026,Genomic and chromosomal Instability: Hidden drivers of Glioblastoma aggressiveness.,a267b9edc01026ceec72e76c9040dddc646c71595bdb8570e497ca4b8c220755
doi:10.1016/j.heliyon.2024.e39392,39502218,10.1016/j.heliyon.2024.e39392,2024,Simultaneous CNV-seq and WES: An effective strategy for molecular diagnosis of unexplained fetal structural anomalies.,451ac4151f084c850d9cf491774e27865b6026f4d87851854a1413e20d9890d8
doi:10.1016/j.ijrobp.2025.12.014,41563231,10.1016/j.ijrobp.2025.12.014,2026,Pretreatment Chromosomal Instability Correlates With Radiation Sensitivity in Squamous Cell Cancers.,d78c3525969d282caa8efe031a713180a9fb6b5e8785dea1dec17effebf34117
doi:10.1016/j.isci.2026.116312,42338480,10.1016/j.isci.2026.116312,2026,"hSpindly dynamics modulate spindle assembly checkpoint signaling, promoting resistance to mitotic inhibitors.",b53b4b3f05f58866b14685e655638cf483afd8e0a25f709e34d3b5f5edddf6cc
doi:10.1016/j.jare.2025.07.008,40633837,10.1016/j.jare.2025.07.008,2026,Tankyrase activity is essential for asymmetric division and chromosome segregation in oocyte meiosis.,e209222912989487415f7c56e66010efce1f9cc8e043884cac34c642efd32419
doi:10.1016/j.jbc.2021.101026,34339741,10.1016/j.jbc.2021.101026,2021,The DNA-binding protein CST associates with the cohesin complex and promotes chromosome cohesion.,9b5895e7e29e3035e02eda55029a08ecbfc2a86903e9842ea85f8a359fd12ecd
doi:10.1016/j.jbc.2026.111148,41534835,10.1016/j.jbc.2026.111148,2026,Targeting the splicing factor CWC22 induces mitotic slippage through repression of BubR1 expression and CDK1 activity in cancer cells.,4e5cbee5f43795b139e75679cc9f372022c733696c9185ba1ca86b6f25bb523a
doi:10.1016/j.jbc.2026.111267,41655693,10.1016/j.jbc.2026.111267,2026,TET2 in epigenetic control of immune cells: Implications for inflammatory responses and age-related pathologies.,94c3c0b339e84d626b7dffe4b4cbc0394cad9af7e03d54cf973122c6aafe8e3b
doi:10.1016/j.mgene.2016.05.002,27331020,10.1016/j.mgene.2016.05.002,2016,In silico analysis of deleterious single nucleotide polymorphisms in human BUB1 mitotic checkpoint serine/threonine kinase B gene.,e3855f409ab18c250a04d9647f1bd1f78f465835e9b5022d8de160c67a4f0864
doi:10.1016/j.molcel.2024.01.018,38359824,10.1016/j.molcel.2024.01.018,2024,Specialized replication mechanisms maintain genome stability at human centromeres.,8753751054d73557747ef5fa162883384649c3ca7f758c7d1b478cbf8eeb132b
doi:10.1016/j.neo.2026.101315,42054804,10.1016/j.neo.2026.101315,2026,Molecular landscape and clinical translation of DNA damage response alterations in solid tumors: A pan-cancer perspective on precision oncology.,a1caf958bf2e11a00089bdd806eeea8a230f1a256af729b83aa952228e6e25f2
doi:10.1016/j.omton.2026.201237,42232064,10.1016/j.omton.2026.201237,2026,Multi-omics dissection of R-loop dynamics in tumorigenesis: From transcription-replication conflict to therapeutic targets.,c15c96c12d742baa7cb4113737377fbbd7acbd7e8b070f4c88d75b45f4f46de1
doi:10.1016/j.pediatrneurol.2013.05.014,23916859,10.1016/j.pediatrneurol.2013.05.014,2014,Refractory infantile spasms associated with mosaic variegated aneuploidy syndrome.,bb66690aa6520bec5c5f154cb8e293437ad206332e2ea6f020932c4186417b59
doi:10.1016/j.redox.2023.102701,37094517,10.1016/j.redox.2023.102701,2023,The establishment of mitotic errors-driven senescence depends on autophagy.,c34cde77177d83c1526493f16a62d90eba697a6754473fe4b14256885ca92813
doi:10.1016/j.redox.2026.104267,42322953,10.1016/j.redox.2026.104267,2026,"XRCC1 deficiency drives telomeric chromatin leakage, inflammatory signalling and senescence.",c6cf5081a0cda4b546d7f2fa6e6186bf37d7b2b2fc651bfeb474badc0c2ec71b
doi:10.1016/j.semcancer.2024.10.005,39490401,10.1016/j.semcancer.2024.10.005,2024,"BubR1 and SIRT2: Insights into aneuploidy, aging, and cancer.",01cb349ca0a539b9b626254ec44d1b127833f718a0a039ed6fed96053a5871d6
doi:10.1016/j.semradonc.2021.09.002,34861996,10.1016/j.semradonc.2021.09.002,2022,Chromosome Missegregation as a Modulator of Radiation Sensitivity.,1e3cb29dc9e82df6abd0be51eb7056fb3a388f9269ab5f916285435eeba251ba
doi:10.1016/j.tcb.2026.03.003,41905869,10.1016/j.tcb.2026.03.003,2026,Tetraploids or polyploid giants: who is truly dangerous?,a551b06c774a4bfaac7cf31476c97625cdd801ca693a56469c4e8b2d625c660f
doi:10.1016/j.tranon.2026.102742,41861657,10.1016/j.tranon.2026.102742,2026,Single-cell inflammatory signaling defines a novel CEP135&lt;sup&gt;+&lt;/sup&gt; endothelial subtype associated with glioma progression.,136927610fb4273a7702b9421a10f8af6ad2fc802930e9e4163f38ad98a26b2a
doi:10.1016/j.tranon.2026.102796,42068673,10.1016/j.tranon.2026.102796,2026,Genetic architecture of multiple myeloma: From somatic alterations to germline susceptibility and clinical implications.,edfcc116935562d1234ae2713831ccdfad67d6ad0266d859463cedd863633505
doi:10.1016/j.xgen.2025.100894,40466636,10.1016/j.xgen.2025.100894,2025,Depletion of aneuploid cells is shaped by cell-to-cell interactions.,fb6170187955a03a8405074894cd2db36bc16a23cc746a576821de6108f3b2b8
doi:10.1016/j.xhgg.2023.100256,37981762,10.1016/j.xhgg.2023.100256,2024,"Mosaic variegated aneuploidy syndrome with tetraploid, and predisposition to male infertility triggered by mutant CEP192.",82a1cbaba6aa7d05af54d1a1cb533eaf9ebeaf87876740eb7bf1e796a28c5604
doi:10.1016/j.xhgg.2025.100437,40211536,10.1016/j.xhgg.2025.100437,2025,The chromosomal challenge of human embryos: Mechanisms and fundamentals.,ab730369885e1d741624ac85d5c494461c507f9b651d9d41f09c013b93e8700c
doi:10.1016/j.yexcr.2006.02.018,16600213,10.1016/j.yexcr.2006.02.018,2006,Spindle checkpoint function requires Mad2-dependent Cdc20 binding to the Mad3 homology domain of BubR1.,0c47c1115e577d708594b9352401a9dbf684bbaa946ca5f53b7d7ce800965d08
doi:10.1021/acs.jmedchem.5c02096,41740057,10.1021/acs.jmedchem.5c02096,2026,Discovery of Two Structurally Distinct Classes of Inhibitors Targeting the Nuclease MUS81 and Enhancing Efficacy of Chemotherapy in Cancer Cells.,0d43a8089236f2d18bd9dfa7f71c02090e76020a91338a60c8f759b8c2bc6f5a
doi:10.1021/acsomega.5c07325,41210725,10.1021/acsomega.5c07325,2025,Chemical Genetics with SP600125 Reveals That Mps1 Protein Kinase Works as a Regulatory Element in Post-embryonic Development of the &lt;i&gt;Arabidopsis thaliana&lt;/i&gt; Root SystemAn Insight into Plant Cell Cycle Control.,d35f13ee5fecc56a29d47260b49d37f882c842f521599b1601da29b3f771ea83
doi:10.1038/hgv.2017.21,28611924,10.1038/hgv.2017.21,2020,PCS/MVA syndrome caused by an Alu insertion in the BUB1B gene.,db6847c73c8464cf5084ae5b8d2b0132c11e83ae025dfff23949e81ff58042d2
doi:10.1038/ng.3883,28553959,10.1038/ng.3883,2017,Biallelic TRIP13 mutations predispose to Wilms tumor and chromosome missegregation.,75825e7d166c5ce650031f557981ebcc48239d5a12a15dc936846bce673899b4
doi:10.1038/ng.822,21552266,10.1038/ng.822,2011,Mutations in CEP57 cause mosaic variegated aneuploidy syndrome.,f11b6ac1976f3a24403ab9f4b0e85c81604dc609b2f8fd81f055d11c691e7eab
doi:10.1038/s10038-023-01211-8,38102195,10.1038/s10038-023-01211-8,2024,RNA sequencing and target long-read sequencing reveal an intronic transposon insertion causing aberrant splicing.,a1603df45c771fcf259add05bd15d5b2fb4cada61edcf59b2e811171d39c412d
doi:10.1038/s12276-025-01608-9,41495421,10.1038/s12276-025-01608-9,2026,Roles of cytoskeleton in metastasis: from its mechanism to therapeutic strategies.,e4f48df0921b76b4dac6eb862798e944d3fa2a8101222dfe52b7dc039d954851
doi:10.1038/s12276-026-01774-4,42409962,10.1038/s12276-026-01774-4,2026,Multiscale systems modelling of communication networks in brain metastasis.,154427f7d18efae371feb9ad9d20d851d9329c28afbeb2c47abbb02f3758e2db
doi:10.1038/s41375-018-0029-9,29445113,10.1038/s41375-018-0029-9,2019,A decade of progress in myelodysplastic syndrome with chromosome 5q deletion.,ecff7ce7da44e7b8036429dd5e50245b1a262696fa1fcc961993fe16c94e3b8e
doi:10.1038/s41388-022-02227-8,35190641,10.1038/s41388-022-02227-8,2022,p53-NEIL1 co-abnormalities induce genomic instability and promote synthetic lethality with Chk1 inhibition in multiple myeloma having concomitant 17p13(del) and 1q21(gain).,8c185cf8467a8e5655925abf29aa42d5ebb78dabcee45bbb6ad4f7c909f27650
doi:10.1038/s41388-025-03300-8,39966556,10.1038/s41388-025-03300-8,2025,Deletion of 17p in cancers: Guilt by (p53) association.,4cd30205ada6418a7accc1e3b8a9ff505884dce4887bf1831fa2a8ef58694e11
doi:10.1038/s41392-023-01548-8,37679326,10.1038/s41392-023-01548-8,2023,A new wave of innovations within the DNA damage response.,87c670793fb52edbd14c4628f9d63d29d644d70d4fbb2741e672b1ea78dab34c
doi:10.1038/s41392-024-01767-7,38553459,10.1038/s41392-024-01767-7,2024,The two sides of chromosomal instability: drivers and brakes in cancer.,cd3a66f510b15d9d986bc4d7ea8b88b07ccf60dbab726782cb2d59b9df2709e4
doi:10.1038/s41392-026-02583-x,41881983,10.1038/s41392-026-02583-x,2026,Reactive oxygen species (ROS) in cancer: from mechanism to therapeutic implications.,d1126ee951740e6edb802fe8ef3e9cfc346a7b725014ad9158ea25020d9f9922
doi:10.1038/s41392-026-02850-x,42472831,10.1038/s41392-026-02850-x,2026,"Tumor evolution: signaling pathways, molecular mechanisms and therapeutic targets.",850236603fc1ca43db9aff473751da6c96a876ca7dfb045bb9e57e646b7922aa
doi:10.1038/s41419-024-06914-0,39043653,10.1038/s41419-024-06914-0,2024,BUB1b impairs chemotherapy sensitivity via resistance to ferroptosis in lung adenocarcinoma.,2c3c6151980f2d414ec70881cea4d6b0111955a98f37bad01e1ba47f1c06de35
doi:10.1038/s41419-025-08286-5,41360780,10.1038/s41419-025-08286-5,2025,MAP4 phosphorylation induced by ARID1A loss sensitizes colorectal cancer cells to EMP.,b2b0fd794c147623e840cb1f0b9271ff022ea15b12d864c3834b7861df7625cc
doi:10.1038/s41419-026-08652-x,41872154,10.1038/s41419-026-08652-x,2026,Loss of DIAPH3 accelerates glioma genesis in mice.,736407ca6a1a9c53a51b44e2b59469457d6da33d430d4d786568d515b061f2b1
doi:10.1038/s41420-025-02623-5,40659604,10.1038/s41420-025-02623-5,2025,Metabolic reprogramming in colorectal cancer: a review of aerobic glycolysis and its therapeutic implications for targeted treatment strategies.,5482fccf67c9ebfec074ce3f43810e8ae9fe9742797d67bd026aeee976a671fd
doi:10.1038/s41431-023-01423-8,37507557,10.1038/s41431-023-01423-8,2023,Clinical trio genome sequencing facilitates the interpretation of variants in cancer predisposition genes in paediatric tumour patients.,d4642c920a85c4d56a580a95926d3631491a45dafbd13ee609cc661855e2ef58
doi:10.1038/s41431-025-01807-y,40065011,10.1038/s41431-025-01807-y,2025,Building a hereditary cancer program in Colombia: analysis of germline pathogenic and likely pathogenic variants spectrum in a high-risk cohort.,c604ee0552331938f3676b264722a2e747ad7494da3b17c7085a7d5e43352c2e
doi:10.1038/s41467-023-37095-7,36906648,10.1038/s41467-023-37095-7,2023,Short-term molecular consequences of chromosome mis-segregation for genome stability.,f11ce16fe126dd5f269d514a3d3afdd6286bc4dc13dca5dc661f775e7f5b8b3b
doi:10.1038/s41467-025-58457-3,40189588,10.1038/s41467-025-58457-3,2025,Aneuploidy confers a unique transcriptional and phenotypic profile to Candida albicans.,1f9e31937e78daec774d78fdf9762c07cf05f2ca53ecc971d66fff00053311b2
doi:10.1038/s41467-025-60857-4,40527892,10.1038/s41467-025-60857-4,2025,Aneuploidy-induced proteostasis disruption impairs mitochondrial functions and mediates aggregation of mitochondrial precursor proteins through SQSTM1/p62.,25bc56900a90fc822368cc98b6e88ccb62281e0654ecf8194f92913738a19493
doi:10.1038/s41467-025-62316-6,40825761,10.1038/s41467-025-62316-6,2025,CENcyclopedia: dynamic landscape of kinetochore architecture throughout the cell cycle.,af82a743fd5a9ab9c91411fcb07af79baf3c9a2e4e87a9437dadd3b9c4207850
doi:10.1038/s41467-025-64148-w,41120314,10.1038/s41467-025-64148-w,2025,CENP-E initiates chromosome congression by opposing Aurora kinases to promote end-on attachments.,a50b710e6d601815abc567523ee97b3b059d179e5e16280f0c20cbaa9739adda
doi:10.1038/s41467-025-65915-5,41345094,10.1038/s41467-025-65915-5,2025,Inducible chromosomal rearrangement reveals nonlinear polygenic dosage effects in driving aneuploid yeast traits.,a29eabcd12758038cc2669bc103196d9416be95eb74df91534d9a95bbcba75e5
doi:10.1038/s41573-025-01369-0,41634401,10.1038/s41573-025-01369-0,2026,Targeting extrachromosomal DNA in human cancers.,e3235035e5cdfa90e5b4ff1fac5633077ce835b29281d0fe6a63f8bb95ff1a7a
doi:10.1038/s41586-020-03114-6,33505028,10.1038/s41586-020-03114-6,2021,Aneuploidy renders cancer cells vulnerable to mitotic checkpoint inhibition.,64141d21f35f6e626507fa8ef68c9bcbeb6624bb3c253e0abe3f9ea0b45a63ca
doi:10.1038/s41586-024-08509-3,39910293,10.1038/s41586-024-08509-3,2025,SKI complex loss renders 9p21.3-deleted or MSI-H cancers dependent on PELO.,cef78ba81077ef6be1951b5277abe634839b82de0503526acb2d4d893a4e3fb8
doi:10.1038/s41598-021-81563-3,33504817,10.1038/s41598-021-81563-3,2021,Depletion of Survivin suppresses docetaxel-induced apoptosis in HeLa cells by facilitating mitotic slippage.,419b3ad9f351af0be264575d973bb102935e228b67696dc5f4e3e7bf93e6a990
doi:10.1038/s41598-024-66244-1,38987356,10.1038/s41598-024-66244-1,2024,A whole-genome CRISPR screen identifies the spindle accessory checkpoint as a locus of nab-paclitaxel resistance in a pancreatic cancer cell line.,d02eaeac70f675c6d8ce577def133ea1a1bab6f4c0c7e3e087f7fb7e875a0f25
doi:10.1038/s41598-025-11673-9,40695988,10.1038/s41598-025-11673-9,2025,A minimal deterministic model reveals integration of spindle assembly and position checkpoints in mitosis.,1c09e3d3777dffc50005eca66f311da4b3eed92c855972dd3f9c035428f97c79
doi:10.1038/s41598-026-36364-x,41545558,10.1038/s41598-026-36364-x,2026,Translational evaluation of BUB1B as a precision medicine biomarker for hepatocellular carcinoma.,2ebe2bd9e52d21a5430e4042deb7f61e131dd2cf8a851bd40bed8a5229819dcc
doi:10.1038/s41698-026-01596-7,42436270,10.1038/s41698-026-01596-7,2026,Aurora kinase A is a synthetic lethal target in FANCA-deficient cancers.,37fbebd4f31164efa11267279f232ba4a3d8ddda322960380856ecf4fa5ecc0a
doi:10.1038/s42003-021-02278-9,34215848,10.1038/s42003-021-02278-9,2021,Genotoxic stress in constitutive trisomies induces autophagy and the innate immune response via the cGAS-STING pathway.,9671cdf585a38e8dfaee02cdb61fc8a47768a79d2676bf9a367dd51c5b9373c4
doi:10.1038/s44318-025-00372-w,39930267,10.1038/s44318-025-00372-w,2025,Proteogenomic analysis reveals adaptive strategies for alleviating the consequences of aneuploidy in cancer.,63681391d182093d262f78484313fdd0085d0d5edc704f403be1dcd145bbe84e
doi:10.1038/s44318-025-00461-w,40467861,10.1038/s44318-025-00461-w,2025,MPS1 promotes timely spindle bipolarization to prevent kinetochore-microtubule attachment errors in oocytes.,a907769634d7d626364b7414b41d8ae5bba0ebd6c9dede0f422941b0cd0a1db9
doi:10.1038/s44319-024-00106-9,38424231,10.1038/s44319-024-00106-9,2024,CKAP5 stabilizes CENP-E at kinetochores by regulating microtubule-chromosome attachments.,d46987b8007195f2c86cd8901f63c2bdb773417a5f588f3926fa78b2eb63eb74
